Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
3/2/22,44438.31,45321.42,43349.4,43938.21,934.456072,00:00.0,41311162.93,47427,473.837427,20965413.52,0
3/3/22,43919.29,44103.62,41822.98,42480.51,842.355459,00:00.0,36087931.65,47236,371.398023,15936695.47,0
3/4/22,42458.89,42537.99,38568.18,39148.05,1185.674289,00:00.0,48175421.62,49883,522.547222,21259814.75,0
3/5/22,39159.26,39631.34,38592.12,39414.71,416.984783,00:00.0,16327460.47,31368,201.416178,7893420.032,0
3/6/22,39405.86,39720.38,38101.93,38413.96,563.363085,00:00.0,21933470.71,33963,256.042018,9979438.289,0
3/7/22,38424.08,39552.31,37166.01,38002.88,1032.060972,00:00.0,39516771.13,47453,484.953296,18583394.77,0
3/8/22,37992.63,39371,37862.34,38739.44,948.977563,00:00.0,36692936.88,39848,478.013083,18493566.62,0
3/9/22,38739.44,42590.08,38658.51,41972.23,1362.713712,00:00.0,56499094.94,48855,740.791298,30694683.63,0
3/10/22,41959.42,42046.78,38510,39428.5,1483.491605,00:00.0,58900618.62,44318,670.674818,26647991.3,0
3/11/22,39431.88,40250,38200.2,38731.58,998.647365,00:00.0,39016499.91,37738,472.569982,18473965.73,0
3/12/22,38733.39,39439.78,38663.37,38838.02,315.983177,00:00.0,12351667.26,18616,167.768252,6561470.164,0
3/13/22,38806.22,39324.4,37580,37789.62,459.379209,00:00.0,17740004.59,23344,224.890461,8699743.206,0
3/14/22,37794.01,39917.89,37572.51,39686.63,765.217603,00:00.0,29708945.04,34945,391.654824,15210866.24,0
3/15/22,39671.94,39900,38139.49,39302.64,787.197899,00:00.0,30811103.36,37358,372.090136,14566629.39,0
3/16/22,39291.58,41700,38844,41136.96,1940.857631,00:00.0,78258014.79,58800,1000.580711,40380180.62,0
3/17/22,41132.44,41479.42,40500,40943.81,540.422488,00:00.0,22122279.83,30176,270.986111,11098771.55,0
3/18/22,40941.75,42364.12,40174.08,41766.97,725.998322,00:00.0,29850593.21,35607,383.31942,15773241.51,0
3/19/22,41781.12,42417,41491.02,42228.92,419.01909,00:00.0,17566161.13,24481,201.358349,8441468.888,0
3/20/22,42231.04,42310.99,40925.92,41285.34,404.970037,00:00.0,16815091.57,25390,187.986128,7806184.009,0
3/21/22,41284.7,41560.78,40509.08,41012.45,629.065295,00:00.0,25808235.1,30537,321.145569,13176570.81,0
3/22/22,41005.65,43347,40896.55,42378.05,1042.58418,00:00.0,44258780.99,41269,548.70125,23280247.93,0
3/23/22,42383.11,43026.05,41768.85,42898.89,802.924895,00:00.0,33941842.17,38657,414.987428,17555156.32,0
3/24/22,42899.5,44248.46,42565.6,44013.99,911.645994,00:00.0,39514622.76,42057,489.319016,21215814.87,0
3/25/22,44019.02,45112.84,43596.62,44331.24,619.532729,00:00.0,27498777.56,35433,332.329207,14761201.06,0
3/26/22,44333.52,44808.77,44063.29,44546.27,223.055913,00:00.0,9902530.18,16116,107.118679,4756968.296,0
3/27/22,44546.27,46952.16,44445.55,46853.23,689.819719,00:00.0,31510574.26,31250,350.205947,16010409.66,0
3/28/22,46843.06,48223.41,46681.21,47129.22,914.412886,00:00.0,43326445.89,43396,464.738886,22028037.73,0
3/29/22,47133.22,48109.83,46981.87,47455.46,581.00516,00:00.0,27632413.54,28136,285.9468,13608417.64,0
3/30/22,47459.87,47719.21,46548.76,47081.55,557.140927,00:00.0,26301372,31591,283.308707,13381722.2,0
3/31/22,47079.87,47631.47,45187.42,45538.09,650.804462,00:00.0,30198740.36,35537,310.884803,14432937.32,0
4/1/22,45523.9,46726.48,44244.26,46294.38,737.132099,00:00.0,33519004.45,38504,372.642214,16954020.36,0
4/2/22,46302.46,47221.58,45640.69,45819.19,523.204441,00:00.0,24292829.13,29375,256.95375,11931394.15,0
4/3/22,45816.89,47468.61,45550.81,46424.88,498.63344,00:00.0,23195591.2,27541,245.070622,11404013.74,0
4/4/22,46423.6,46893.53,45126.58,46586.91,710.260793,00:00.0,32662739.07,34257,361.530473,16635231.58,0
4/5/22,46597.67,47196.13,45375.5,45510.88,673.974797,00:00.0,31124359.42,35777,326.529236,15083885.22,0
4/6/22,45507.33,45516.48,43115.52,43183.88,1113.88676,00:00.0,49432129.86,52915,518.636472,23029613.35,0
4/7/22,43172.02,43902.31,42737.09,43452.64,623.652361,00:00.0,27080924.6,38461,315.078697,13683682.1,0
4/8/22,43440,43983.5,42113.47,42265.71,802.752852,00:00.0,34636602.69,40688,394.915252,17052148.42,0
4/9/22,42255.54,42807.2,42133.11,42757.07,250.531881,00:00.0,10631646.23,17565,136.037847,5774318.395,0
4/10/22,42759.24,43426.23,41892.1,42159.82,436.24758,00:00.0,18588424.94,22539,218.100583,9296579.449,0
4/11/22,42166.35,42418.98,39215.26,39540.55,1300.525191,00:00.0,53132174.37,56737,573.007419,23434236.5,0
4/12/22,39530.8,40700.99,39263.15,40080.65,1280.747807,00:00.0,51254856.69,52316,685.190605,27423061.4,0
4/13/22,40080.65,41570.02,39589.32,41144.86,1189.785225,00:00.0,48257692.15,41987,608.263188,24678696.7,0
4/14/22,41151.48,41500,39572.24,39946.93,661.007399,00:00.0,26799600.97,33971,320.40754,12987883.38,0
4/15/22,39945.91,40861.77,39771.18,40564.17,542.405087,00:00.0,21842354.34,27678,277.08001,11160783.56,0
4/16/22,40562.26,40706.17,40005.67,40382.33,359.322022,00:00.0,14510509.66,18136,175.141034,7073909.548,0
4/17/22,40389.05,40607,39559.32,39681.76,525.209283,00:00.0,21101166.12,22729,283.878462,11408226.22,0
4/18/22,39681.63,41100,38541.31,40811.04,1260.086581,00:00.0,50124355.07,48534,623.003048,24795364.57,0
4/19/22,40811.12,41800,40568.67,41496.82,612.409258,00:00.0,25205338.37,29053,316.085155,13007973.03,0
4/20/22,41501.19,42205.43,40900,41372.38,678.127661,00:00.0,28167677.7,31446,344.159315,14299598.54,0
4/21/22,41368.2,42984.15,39771.6,40483.33,1091.012495,00:00.0,45515083.02,42887,555.646443,23193549.12,0
4/22/22,40482.63,40799.14,39172.34,39700.53,879.526962,00:00.0,35223313.92,41019,445.360143,17844337.82,0
4/23/22,39708.86,39984.61,39290.16,39447.86,302.742514,00:00.0,12011001.88,18407,155.892315,6187143.891,0
4/24/22,39451.85,39948.83,38981.05,39464.48,503.595694,00:00.0,19916190.02,24172,263.2526,10413117.52,0
4/25/22,39455.59,40619.42,38208.21,40430,1396.335862,00:00.0,54712705.01,54113,703.501337,27572637.43,0
4/26/22,40430,40804.22,37700,38114.88,1248.447339,00:00.0,48790031.92,52597,578.057187,22626847.2,0
4/27/22,38113.22,39470.07,37875.37,39233.75,981.779969,00:00.0,38150457.41,44588,513.02016,19940550.24,0
